company,url,content,scrape_date,paragraph,word_count,has_normative_core
BDO,https://www.bdo.com,"Everything we do is rooted in our core purpose to help people thrive every day. It’s not only the right business thing to do; it’s the right human thing to do. This starts by putting our people at the center of our work and extends to how we treat and value our people, our clients and our communities. With a dedication to quality and a purpose-driven culture, BDO offers a powerful choice both for clients and those seeking rewarding professional careers.",2026-03-24,NA,84,TRUE
BearingPoint,https://www.bearingpoint.com,"Our purpose is focused on people, planet, and innovation, inspiring us to make a greater impact. Together, we are more than business.",2026-03-24,NA,22,TRUE
BearingPoint,https://www.bearingpoint.com,We are constantly incorporating new and sustainable ways of working and investing in innovative software firms and consultancies.,2026-03-24,NA,18,FALSE
BearingPoint,https://www.bearingpoint.com,"Global with a local touch, we have a growing alliance of like-minded business consultancies united by our belief in the advantages of perspectives, ideas and ways of working.",2026-03-24,NA,29,FALSE
BearingPoint,https://www.bearingpoint.com,"Our health and social care consultants help providers improve outcomes, increase value, and build a more sustainable and resilient healthcare system.",2026-03-24,NA,21,FALSE
BearingPoint,https://www.bearingpoint.com,"As a strategic partner, we help our clients in the media and entertainment industries transform, adapt, and identify relevant and sustainable growth opportunities.",2026-03-24,NA,23,FALSE
BearingPoint,https://www.bearingpoint.com,"Discover BearingPoint’s sustainability consulting services, providing expertise in climate, circular economy, compliance, and more with over 200 dedicated consultants.",2026-03-24,NA,20,FALSE
BearingPoint,https://www.bearingpoint.com,Empowering Growth: Tailored SAP Solutions from Strategy to Implementation,2026-03-24,NA,9,FALSE
BearingPoint,https://www.bearingpoint.com,"We work in partnership with major technology suppliers, developing solutions and strategies to suit our clients’ requirements.",2026-03-24,NA,17,FALSE
BearingPoint,https://www.bearingpoint.com,"Transformation starts with intelligence - human, sharp, and purpose-driven. We apply it intelligently to what matters most: bold differentiation, lasting client impact, global resonance, and the power of people. Welcome to your future management and technology consulting partner.",2026-03-24,NA,38,TRUE
BearingPoint,https://www.bearingpoint.com,Your customers are demanding greater sustainability than ever before. We’ll help you deliver it – ethically and responsibly.,2026-03-24,NA,18,FALSE
BearingPoint,https://www.bearingpoint.com,"A resilient organization is agile, responsive and diverse. Learn how to navigate uncertainty and thrive - whatever tomorrow brings.",2026-03-24,NA,18,FALSE
BearingPoint,https://www.bearingpoint.com,"Security, diversity, transparency. Don’t leave your supply chain to chance – build it for high reliability and low risk.",2026-03-24,NA,19,FALSE
BearingPoint,https://www.bearingpoint.com,"Two leading European companies announce a partnership aimed at residual value management in the context of asset-based funding for banks, captives, and leasing companies across Europe.",2026-03-24,NA,27,FALSE
BearingPoint,https://www.bearingpoint.com,"Your sector is unique, and so is the value we bring. Explore our expertise here.",2026-03-24,NA,15,FALSE
BearingPoint,https://www.bearingpoint.com,"Discover BearingPoint’s sustainability consulting services, providing expertise in climate, circular economy, compliance, with over 200 dedicated consultants.",2026-03-24,NA,18,FALSE
BearingPoint,https://www.bearingpoint.com,"We work in partnership with all major leading technology suppliers, developing the ideal solutions and strategies for your needs.",2026-03-24,NA,19,FALSE
BearingPoint,https://www.bearingpoint.com,We support health and social care providers in delivering better outcomes and value while building a more sustainable and resilient healthcare ecosystem.,2026-03-24,NA,22,FALSE
BearingPoint,https://www.bearingpoint.com,"As a strategic partner, we help our clients in the media and entertainment industries transform, adapt and identify relevant and sustainable growth opportunities.",2026-03-24,NA,23,FALSE
BearingPoint,https://www.bearingpoint.com,BearingPoint helps the Utilities sector to navigate the changing landscape and establish a future vision.,2026-03-24,NA,15,FALSE
BearingPoint,https://www.bearingpoint.com,Our Navigator Solutions support companies in generating added value from their data with innovative software. The goal is cost transparency and cost reduction.,2026-03-24,NA,23,FALSE
BearingPoint,https://www.bearingpoint.com,Co-investing in partnership with clients to support the next generation of tech entrepreneurs and businesses,2026-03-24,NA,16,FALSE
BearingPoint,https://www.bearingpoint.com,We create value impact through our M&A Deal Advisory services,2026-03-24,NA,11,FALSE
BearingPoint,https://www.bearingpoint.com,"Our purpose is summed up by a simple statement: ‘Together, we are more than business’. It is the bedrock of everything we do.",2026-03-24,NA,23,TRUE
BearingPoint,https://www.bearingpoint.com,We’re proud to be part of a worldwide network of businesses leading a global movement for an inclusive and sustainable economy.,2026-03-24,NA,22,FALSE
BearingPoint,https://www.bearingpoint.com,"At BearingPoint Products we are architects of transformation. We create value through an expansive portfolio - not just meeting your needs, but anticipating them.",2026-03-24,NA,23,FALSE
BearingPoint,https://www.bearingpoint.com,"Join us and you’ll build a more varied and rewarding career - whether you’re a new graduate or an experienced professional - in a supportive environment founded on our values of commitment, teamwork and excellence.",2026-03-24,NA,35,FALSE
Charles River Associates,https://www.crai.com,"By lowering technical and financial barriers, these tools democratize access to sophisticated pricing capabilities, empowering even small businesses to benefit...",2026-03-24,NA,20,FALSE
Clifford Chance,https://www.cliffordchance.com,Explore our global Sustainability and ESG expertise,2026-03-24,NA,7,FALSE
Covington & Burling,https://www.cov.com,"Covington & Burling LLP operates as a limited liability partnership worldwide, with the practice in England and Wales conducted by an affiliated
    limited liability multinational partnership, Covington & Burling LLP, which is formed under the laws of the State of Delaware in the United States
    and authorized and regulated by the Solicitors Regulation Authority with registration number 77071..",2026-03-24,NA,56,FALSE
Covington & Burling,https://www.cov.com,"229,000+ Pro Bono Hours Provided in 2024",2026-03-24,NA,8,FALSE
Covington & Burling,https://www.cov.com,"Covington & Burling LLP operates as a limited liability partnership worldwide, with the practice in England and Wales conducted by an affiliated
limited liability multinational partnership, Covington & Burling LLP, which is formed under the laws of the State of Delaware in the United States
and authorized and regulated by the Solicitors Regulation Authority with registration number 77071.
The practice in Johannesburg is conducted by an affiliated limited company Covington & Burling (Pty) Ltd. The practice in Dublin Ireland is through a general affiliated Irish partnership, Covington & Burling and authorized and regulated by the Law Society of Ireland with registration number F9013.",2026-03-24,NA,99,FALSE
Davis Polk,https://www.davispolk.com,Complete victory in 15-year LIBOR antitrust litigation,2026-03-24,NA,8,TRUE
Davis Polk,https://www.davispolk.com,"In an unpredictable world, you need a trusted partner who understands your business. Davis Polk has the legal experience, industry knowledge and spirit of collaboration to help you navigate uncertainty and seize opportunities.",2026-03-24,NA,33,TRUE
Davis Polk,https://www.davispolk.com,"We approach every client and every challenge as a team, with each individual bringing unique insights and talents to the table. The breadth of backgrounds, experiences and ideas across our firm community enriches our workplace and enhances our ability to provide creative solutions tailored to our clients’ most challenging business needs. Our inclusive culture strengthens our connections to each other and to our clients.",2026-03-24,NA,64,FALSE
Davis Polk,https://www.davispolk.com,"Since our founding, we have proudly upheld a commitment to serve pro bono clients with the determination and legal excellence that define our broader culture. We devote tens of thousands of hours to pro bono cases, and our people are dedicated to corporate social responsibility and volunteering in our communities around the world.",2026-03-24,NA,53,TRUE
Deloitte,https://www.deloitte.com,"Globally, M&A activity increased by 4% in 2025 compared to 2024, driven by a resurgence in mega-deals. The total aggregate value of all deals reached 3.7 trillion CHF, approaching levels last seen in 2021.",2026-03-24,NA,37,FALSE
Deloitte,https://www.deloitte.com,"In partnership with Deloitte, Axpo successfully migrated to SAP S/4HANA Cloud Edition, optimising business processes, enhancing efficiency, and paving the path for ongoing growth and innovation.",2026-03-24,NA,27,FALSE
EY,https://www.ey.com,"EY helps clients create long-term value for all stakeholders. Enabled by data and technology, our services and solutions provide trust through assurance and help clients transform, grow and operate.",2026-03-24,NA,30,TRUE
EY,https://www.ey.com,"At EY, our purpose is building a better working world. The insights and services we provide help to create long-term value for clients, people and society, and to build trust in the capital markets.",2026-03-24,NA,35,TRUE
EY,https://www.ey.com,Strengthen your GBS while boosting value delivery for your customers,2026-03-24,NA,10,FALSE
EY,https://www.ey.com,"Featured:
            
            EY Global Executive (GE) Diversity, Equity and Inclusiveness Statement",2026-03-24,NA,10,FALSE
EY,https://www.ey.com,"Featured:
            
            Sustainable Aviation Fuels: Paving the way for greener skies",2026-03-24,NA,10,FALSE
EY,https://www.ey.com,"Featured:
            
            EY’s commitment to developing and using AI ethically and responsibly",2026-03-24,NA,12,FALSE
EY,https://www.ey.com,"Featured:
            
            Can AI advance toward value if workforce tensions linger?",2026-03-24,NA,10,FALSE
Freshfields Bruckhaus Deringer,https://www.freshfields.com,Policy-driven enforcement is redefining global antitrust - your guide to understanding and managing this dynamic environment in 2026.,2026-03-24,NA,18,TRUE
Freshfields Bruckhaus Deringer,https://www.freshfields.com,"Trusted, experienced, and forward-thinking – get to know our lawyers and leaders",2026-03-24,NA,12,TRUE
FTI Consulting,https://www.fticonsulting.com,"Explore how carve-outs offer private equity firms opportunities for growth, value creation, and strategic advantages in a high-stakes market.",2026-03-24,NA,21,FALSE
Gibson Dunn,https://www.gibsondunn.com,"We are deeply committed to advancing a diverse and equitable culture, promoting the rule of law, enhancing access to justice, and ensuring the most vulnerable members of society receive critical legal assistance in partnership with our clients, community partners and legal industry colleagues.",2026-03-24,NA,43,FALSE
Grant Thornton,https://www.grantthornton.com,"Many AI pilots achieve limited returns and fail to scale. Discover how leaders can prioritize use cases, strengthen data hygiene and foster adoption to turn pilots into lasting enterprise value.",2026-03-24,NA,30,FALSE
Grant Thornton,https://www.grantthornton.com,"Resilience powers profitable growth by helping organizations build stability, earn customer trust, and accelerate innovation for long‑term success.",2026-03-24,NA,19,TRUE
Grant Thornton,https://www.grantthornton.com,"EU approves CSRD simplifications as European Council and Parliament cut reporting burden, streamlining Corporate Sustainability Reporting Directive rules",2026-03-24,NA,18,FALSE
Grant Thornton,https://www.grantthornton.com,"Guidance on evaluating and correcting errors in previously issued financial statements, including materiality, SEC requirements, and accounting standards.",2026-03-24,NA,18,FALSE
Grant Thornton,https://www.grantthornton.com,A court ruling holds that the “limited partner” exemption from self-employment tax applies to limited partnerships that have limited liability under state law.,2026-03-24,NA,24,FALSE
Grant Thornton,https://www.grantthornton.com,"March 19, 2026 — GT was named one of Newsweek’s America’s Greatest Workplaces for Entry Level 2026, recognizing excellence in early‑career employee experience.",2026-03-24,NA,25,FALSE
Grant Thornton,https://www.grantthornton.com,"March 04, 2026 — GT is named to USA Today’s 2026 list of America’s Most Recommended Tax and Accounting Firms for excellence, expertise and client service.",2026-03-24,NA,27,FALSE
Grant Thornton,https://www.grantthornton.com,"You know the career you want, so let us help you make it a reality. Here, you’ll discover a career that gives you more flexibility, opportunity and support to empower your passions.",2026-03-24,NA,33,FALSE
Grant Thornton,https://www.grantthornton.com,"“Grant Thornton” is the brand name under which Grant Thornton LLP and Grant Thornton Advisors LLC and its subsidiary entities provide professional services. Grant Thornton LLP and Grant Thornton Advisors LLC (and their respective subsidiary entities) practice as an alternative practice structure in accordance with the AICPA Code of Professional Conduct and applicable law, regulations and professional standards.",2026-03-24,NA,58,FALSE
Grant Thornton,https://www.grantthornton.com,"Grant Thornton International Limited (GTIL) and the member firms, including Grant Thornton LLP and Grant Thornton Advisors LLC, are not a worldwide partnership. GTIL and each member firm are separate legal entities. GTIL is a non-practicing, international, coordinating entity organized as a private company limited by guarantee incorporated in England and Wales. Services are delivered by the member firms; GTIL does not provide services to clients. GTIL and its member firms are not agents of, and do not obligate, one another and are not liable for one another’s acts or omissions.",2026-03-24,NA,93,FALSE
Huron Consulting,https://www.huronconsultinggroup.com,"Our incredible people, shared values, and vibrant culture truly set Huron apart as a great place to work.",2026-03-24,NA,18,FALSE
K&L Gates,https://www.klgates.com,DISCOVER more opportunities to DEVELOP your talents and THRIVE in a dynamic legal landscape.,2026-03-24,NA,14,FALSE
KPMG,https://www.kpmg.com,Explore the five-capability blueprint for value creation next-gen alpha.,2026-03-24,NA,11,FALSE
KPMG,https://www.kpmg.com,"ESG and Sustainability are broad topics. And they're rapidly evolving. Staying on top of the issues can require leaders to stay informed, engaged and open-minded.",2026-03-24,NA,27,FALSE
KPMG,https://www.kpmg.com,"In a complex world where finance, trade, technology and environment intersect in different and evolving ways, we believe conventional approaches to risk and regulatory compliance are no longer fit for purpose.",2026-03-24,NA,31,TRUE
KPMG,https://www.kpmg.com,"Whether you are transacting or transforming, you need to ensure you are capturing all the value you can from your assets and investments.",2026-03-24,NA,23,FALSE
KPMG,https://www.kpmg.com,"The world is rapidly changing. And change can create significant opportunities. Yet, from our perspective, seizing those opportunities requires vision, insights and capabilities.",2026-03-24,NA,23,FALSE
L.E.K. Consulting,https://www.lek.com,"L.E.K. helps companies rethink their priorities and what they want to achieve amid a fast-changing business environment. From talent retention to sustainability goals and breakthrough technologies, we work with clients to narrow the range of uncertainty and get to a pivotal decision that touches off the next phase of growth.",2026-03-24,NA,53,FALSE
L.E.K. Consulting,https://www.lek.com,"The dynamic and dramatic changes affecting the global healthcare market puts enormous pressure and tremendous opportunity into the hands of medical professionals, insurance executives, pharmaceutical leaders and medical device experts who all share a common goal of improving healthcare outcomes but also face extraordinary challenges in an increasingly value-based, consumer-centric and cost-conscious environment.",2026-03-24,NA,56,FALSE
Lenz & Staehelin,https://www.lenzstaehelin.com,"As we harness the power of AI to enhance our services, we will live by our core values and high standards.",2026-03-24,NA,21,FALSE
Lenz & Staehelin,https://www.lenzstaehelin.com,"Within teams and across teams, from office to office, close collaboration throughout Lenz & Staehelin brings together the best people to deliver the best outcome. Our seamlessly integrated practices can tackle any legal problem.",2026-03-24,NA,33,FALSE
Lenz & Staehelin,https://www.lenzstaehelin.com,"More perspectives, more ideas, more intelligent routes to success. We welcome and nurture the finest minds, regardless of background. Diversity opens up opportunities both for our clients and the teams serving them.",2026-03-24,NA,32,FALSE
Lenz & Staehelin,https://www.lenzstaehelin.com,"We want to contribute responsibly to a fast-changing world. Find out more about how we’re maximising our impact for good across sustainability, responsibility, and diversity and inclusion.",2026-03-24,NA,29,TRUE
Linklaters,https://www.linklaters.com,Inspiring confidence and trust as the #1 global legal team in the world,2026-03-24,NA,13,TRUE
Mayer Brown,https://www.mayerbrown.com,"Mayer Brown is a global legal services provider comprising associated legal practices that are separate entities, including Mayer Brown LLP (Illinois, USA), Mayer Brown International LLP (England & Wales), Mayer Brown Hong Kong LLP (a Hong Kong limited liability partnership) and Tauil & Chequer Advogados (a Brazilian law partnership) (collectively, the “Mayer Brown Practices”). The Mayer Brown Practices are established in various jurisdictions and may be a legal person or a partnership. PK Wong LLC (“PKW”) is the constituent Singapore law practice of our licensed joint law venture in Singapore, Mayer Brown PK Wong Pte. Ltd.  More information about the individual Mayer Brown Practices and PKW can be found in the Legal Notices section of our website.",2026-03-24,NA,115,FALSE
Niederer Kraft Frey,https://www.nkf.ch,Niederer Kraft Frey is a preeminent full service law firm with an international approach and a proven track record of legal excellence and innovation.,2026-03-24,NA,24,FALSE
Niederer Kraft Frey,https://www.nkf.ch,INVISION sells AK Group to mobilezone,2026-03-24,NA,6,FALSE
Niederer Kraft Frey,https://www.nkf.ch,"At NKF, we strive to satisfy the growing expectations of our clients, employees and the wider society by making a real and lasting difference in doing business in a responsible way. Corporate Social Responsibility is therefore an integral part of our corporate identity and culture.",2026-03-24,NA,45,TRUE
Niederer Kraft Frey,https://www.nkf.ch,Our values are our constitution. They give us a solid framework in which we are free to move quickly and with integrity to serve the interests of our clients in a constantly changing commercial world.,2026-03-24,NA,35,TRUE
PwC,https://www.pwc.com,"AI, climate change and geopolitical shifts are reconfiguring the global economy. Last year, we estimated there was US$7 trillion to be won through reinvention. We’ve mapped the value in motion from 2025 to 2035, so you can build a future-ready business to capture it.",2026-03-24,NA,47,FALSE
PwC,https://www.pwc.com,"so you can
							
								stay ahead
								protect what you build
								create new value",2026-03-24,NA,12,FALSE
PwC,https://www.pwc.com,Explore how to create and protect value,2026-03-24,NA,7,FALSE
PwC,https://www.pwc.com,We enhance strategy​ with sustainability​ so you can ​strengthen resilience​ and returns,2026-03-24,NA,12,FALSE
PwC,https://www.pwc.com,"Last year, we estimated there was US$7 trillion to be won through reinvention. We’ve mapped the value in motion from 2025 to 2035, so you can build a future-ready business to capture it.",2026-03-24,NA,36,FALSE
PwC,https://www.pwc.com,We enhance strategy with sustainability so you can strengthen resilience and returns,2026-03-24,NA,12,FALSE
Roland Berger,https://www.rolandberger.com,"Announced plant closures increased sixfold as detailed in the Roland Berger commissioned CEFIC study, urging the European chemical industry to act now.",2026-03-24,NA,22,FALSE
RSM,https://www.rsmus.com,"Seize opportunity to make a meaningful impact—on your career, your clients, your RSM team and your community.",2026-03-24,NA,18,FALSE
RSM,https://www.rsmus.com,Our team members bring these values to bear daily for every client in everything we do.  Get to know us and you'll quickly understand why our people are the faces of RSM.,2026-03-24,NA,33,FALSE
RSM,https://www.rsmus.com,"RSM US LLP is a limited liability partnership and the U.S. member firm of RSM International, a global network of independent assurance, tax and consulting firms. The member firms of RSM International collaborate to provide services to global clients, but are separate and distinct legal entities that cannot obligate each other. Each member firm is responsible only for its own acts and omissions, and not those of any other party. Visit rsmus.com/about for more information regarding RSM US LLP and RSM International.",2026-03-24,NA,85,FALSE
Simon-Kucher,https://www.simon-kucher.com,2026 trends and strategies for sustainable growth,2026-03-24,NA,7,FALSE
Simon-Kucher,https://www.simon-kucher.com,Expand your value creation potential with GenAI,2026-03-24,NA,7,FALSE
Simon-Kucher,https://www.simon-kucher.com,"Our sole focus is on unlocking better growth for our clients, increasing their long-term sales, value, and profit.We achieve this by optimizing every lever of their commercial strategy – product, price, innovation, marketing, and sales.",2026-03-24,NA,36,FALSE
Simon-Kucher,https://www.simon-kucher.com,"Simon-Kucher has led the way in the healthcare industry for over 35 years, helping pharmaceutical, medical technology and consumer healthcare companies identify, enhance, and realize the true value of their offers.With our highly experienced teams based across Europe, the USA, and Asia, we unlock growth opportunities to help commercialize innovations that improve patient health and well-being.",2026-03-24,NA,59,FALSE
Simon-Kucher,https://www.simon-kucher.com,"Simon-Kucher has deep roots in the Industrials sector. From chemicals to construction, industrial goods to oil and gas, we are here to support you on your journey to sustainable, profitable growth.We bring a wealth of knowledge, experience, and pragmatism to every business challenge.",2026-03-24,NA,45,FALSE
Simon-Kucher,https://www.simon-kucher.com,"The TMT sector is the global economy's engine of growth and innovation.Our specialist consulting teams can help power value creation, growth, and profit in this fast-moving industry. From pricing to sales, go-to-market to value proposition development, we know how to boost growth and your financial performance.",2026-03-24,NA,51,FALSE
Simon-Kucher,https://www.simon-kucher.com,"Our sole focus is on unlocking better growth for our clients, increasing their long-term sales, value, and profit. We achieve this by optimizing every lever of their commercial strategy – product, price, innovation, marketing, and sales.Enabled by deep science and digital capabilities, our projects increase our clients’ profitability by an average of 100 to 500 basis points.",2026-03-24,NA,58,FALSE
Slalom,https://www.slalom.com,"From quick fixes to long-term value—see what happens when contact centers are built for connection, not containment.",2026-03-24,NA,19,FALSE
Slalom,https://www.slalom.com,"I very much enjoyed partnering with the Slalom team. The mix of digital expertise, delivery focus, and client-focused culture contributed directly to our accelerated digital journey.",2026-03-24,NA,27,FALSE
Slalom,https://www.slalom.com,"Not only did Slalom help us build the foundation for one of our core enterprise goals—a holistic, well-defined culture—it informed executive conversations around strategy and fostered engagement from our teams around the world.",2026-03-24,NA,36,FALSE
Slalom,https://www.slalom.com,"Every day we bring our heads and our hearts to being a trusted copilot, respectful challenger, and unwavering champion for each of our customers.",2026-03-24,NA,24,TRUE
Slalom,https://www.slalom.com,"From strategy to digital product building and beyond, we bring the right mix of services to accelerate your vision with holistic, practical solutions. We listen deeply and share our knowledge every step of the way, empowering your teams to continue the momentum after we’re gone.",2026-03-24,NA,46,FALSE
Slalom,https://www.slalom.com,Slalom’s Greenhouse Gas Emission Reduction Targets Approved by the Science Based Targets Initiative,2026-03-24,NA,14,FALSE
Slalom,https://www.slalom.com,Slalom and Salesforce expand partnership to unleash the power of data for customers’ AI transformation,2026-03-24,NA,15,FALSE
Slalom,https://www.slalom.com,Slalom Announces Collaboration with Snowflake to Power AI-Driven Transformation in AI Data Cloud,2026-03-24,NA,14,FALSE
Strategy&,https://www.strategyand.pwc.com,"We help clients transform their business through deals that realize strategic goals, capture value, and deliver growth.",2026-03-24,NA,17,FALSE
Willis Towers Watson,https://www.wtwco.com,"From determining how work gets done and how it’s valued to improving the health and financial wellbeing of your workforce, we add perspective.",2026-03-24,NA,24,FALSE
Willis Towers Watson,https://www.wtwco.com,"Your people unlock your potential. From determining how work gets done and how it’s valued to improving the health and financial wellbeing of your workforce, we add perspective. Together, we’ll find ways to inspire and reward your people, effectively deliver valuable benefits, create an engaging employee experience and move you to sustainable success.",2026-03-24,NA,55,FALSE
Willis Towers Watson,https://www.wtwco.com,"Today’s risks deserve thoughtfully disruptive solutions and services. We strongly believe that our clients should not have to make do with a one-size-fits-all approach. With deep global specialty insurance expertise, we build solutions around you, providing products and services to address your industry-specific risks.",2026-03-24,NA,49,FALSE
